Province/State,Country/Region,Lat,Long,10/17/2020
,Kenya,-0.0236,37.9062,44196
,"Korea, South",35.907757,127.766922,25199
,Kosovo,42.602636,20.902977,16606
,Kuwait,29.31166,47.481766,115483
,Kyrgyzstan,41.20438,74.766098,51490
,Laos,19.85627,102.495496,23
,Latvia,56.8796,24.6032,3392
,Lebanon,33.8547,35.8623,61284
,Lesotho,-29.61,28.2336,1833
,Liberia,6.428055,-9.429499,1377
,Libya,26.3351,17.228331,47845
,Liechtenstein,47.14,9.55,217
,Lithuania,55.1694,23.8813,7269
,Luxembourg,49.8153,6.1296,10471
,MS Zaandam,0,0,9
,Madagascar,-18.766947,46.869107,16810
,Malawi,-13.2543,34.3015,5852
,Malaysia,4.210484,101.975766,19627
,Maldives,3.2028,73.2207,11178
,Mali,17.570692,-3.996166,3379
,Malta,35.9375,14.3754,4486
,Mauritania,21.0079,-10.9408,7607
,Mauritius,-20.348404,57.552152,417
,Mexico,23.6345,-102.5528,847108
,Moldova,47.4116,28.3699,66652
,Monaco,43.7333,7.4167,260
,Mongolia,46.8625,103.8467,320
,Montenegro,42.708678,19.37439,15427
,Morocco,31.7917,-7.0926,170911
,Mozambique,-18.665695,35.529562,10707
,Namibia,-22.9576,18.4904,12263
,Nepal,28.1667,84.25,129304
Aruba,Netherlands,12.5211,-69.9683,4304
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,150
Curacao,Netherlands,12.1696,-68.99,715
Sint Maarten,Netherlands,18.0425,-63.0548,749
,Netherlands,52.1326,5.2913,220052
,New Zealand,-40.9006,174.886,1886
,Nicaragua,12.865416,-85.207229,5353
,Niger,17.607789,8.081666,1209
,Nigeria,9.082,8.6753,61307
,North Macedonia,41.6086,21.7453,23201
,Norway,60.472,8.4689,16369
,Oman,21.512583,55.923255,108296
,Pakistan,30.3753,69.3451,323019
,Panama,8.538,-80.7821,124107
,Papua New Guinea,-6.314993,143.95555,581
,Paraguay,-23.4425,-58.4438,54015
,Peru,-9.19,-75.0152,862417
,Philippines,12.879721,121.774017,354338
,Poland,51.9194,19.1451,167230
,Portugal,39.3999,-8.2245,98055
,Qatar,25.3548,51.1839,129227
,Romania,45.9432,24.9668,176468
,Russia,61.52401,105.318756,1376020
,Rwanda,-1.9403,29.8739,4971
,Saint Kitts and Nevis,17.357822,-62.782998,19
,Saint Lucia,13.9094,-60.9789,33
,Saint Vincent and the Grenadines,12.9843,-61.2872,67
,San Marino,43.9424,12.4578,759
,Sao Tome and Principe,0.1864,6.6131,932
,Saudi Arabia,23.885942,45.079162,341854
,Senegal,14.4974,-14.4524,15392
,Serbia,44.0165,21.0059,35946
,Seychelles,-4.6796,55.492,149
,Sierra Leone,8.460555,-11.779889,2327
,Singapore,1.2833,103.8333,57904
,Slovakia,48.669,19.699,28268
,Slovenia,46.1512,14.9955,12416
,Solomon Islands,-9.6457,160.1562,3
,Somalia,5.152149,46.199616,3864
,South Africa,-30.5595,22.9375,702131
,South Sudan,6.877,31.307,2817
,Spain,40.463667,-3.74922,936560
,Sri Lanka,7.873054,80.771797,5475
,Sudan,12.8628,30.2176,13691
,Suriname,3.9193,-56.0278,5123
,Sweden,60.128161,18.643501,103200
,Switzerland,46.8182,8.2275,74422
,Syria,34.802075,38.996815,5033
,Taiwan*,23.7,121,535
,Tajikistan,38.861,71.2761,10455
,Tanzania,-6.369028,34.888822,509
,Thailand,15.870032,100.992541,3686
,Timor-Leste,-8.874217,125.727539,29
,Togo,8.6195,0.8248,2049
